source_schema,source_table,source_model,owner,action,target,mapping_rule,migration_status
public,OnboardingCandidate,OnboardingCandidate,lifecycle,Merge/extend,lifecycle_cases + tasks + lifecycle events,"Preserve statuses, assignees and histories; prehire is not active employment.",Not executed
public,LeaveType,LeaveType,leave,Merge/extend,leave_types + leave_balances + leave_requests + holiday calendars,"Merge leave implementations; map units, half days, year boundaries and existing approval evidence explicitly.",Not executed
public,public_holidays,PublicHoliday,leave,Merge/extend,leave_types + leave_balances + leave_requests + holiday calendars,"Merge leave implementations; map units, half days, year boundaries and existing approval evidence explicitly.",Not executed
public,LeaveBalance,LeaveBalance,leave,Merge/extend,leave_types + leave_balances + leave_requests + holiday calendars,"Merge leave implementations; map units, half days, year boundaries and existing approval evidence explicitly.",Not executed
public,LeaveRequest,LeaveRequest,leave,Merge/extend,leave_types + leave_balances + leave_requests + holiday calendars,"Merge leave implementations; map units, half days, year boundaries and existing approval evidence explicitly.",Not executed
public,AssetCategory,AssetCategory,assets,Port unique capability,asset domain under FastAPI,"Port unique inventory, assignment, return and incident behavior; link canonical worker/employment IDs.",Not executed
public,asset_vendors,AssetVendor,assets,Port unique capability,asset domain under FastAPI,"Port unique inventory, assignment, return and incident behavior; link canonical worker/employment IDs.",Not executed
public,asset_photos,AssetPhoto,assets,Port unique capability,asset domain under FastAPI,"Port unique inventory, assignment, return and incident behavior; link canonical worker/employment IDs.",Not executed
public,Asset,Asset,assets,Port unique capability,asset domain under FastAPI,"Port unique inventory, assignment, return and incident behavior; link canonical worker/employment IDs.",Not executed
public,AssetAssignment,AssetAssignment,assets,Port unique capability,asset domain under FastAPI,"Port unique inventory, assignment, return and incident behavior; link canonical worker/employment IDs.",Not executed
public,asset_return_requests,AssetReturnRequest,assets,Port unique capability,asset domain under FastAPI,"Port unique inventory, assignment, return and incident behavior; link canonical worker/employment IDs.",Not executed
public,lost_damage_incidents,LostDamageIncident,assets,Port unique capability,asset domain under FastAPI,"Port unique inventory, assignment, return and incident behavior; link canonical worker/employment IDs.",Not executed
public,lost_damage_policy_guidelines,LostDamagePolicyGuideline,assets,Port unique capability,asset domain under FastAPI,"Port unique inventory, assignment, return and incident behavior; link canonical worker/employment IDs.",Not executed
public,lost_damage_workflow_steps,LostDamageWorkflowStep,assets,Port unique capability,asset domain under FastAPI,"Port unique inventory, assignment, return and incident behavior; link canonical worker/employment IDs.",Not executed
public,attendance_policies,AttendancePolicy,attendance,Port unique capability,attendance domain under FastAPI,Retain basic attendance/shifts; do not infer a full payroll or shift optimization engine.,Not executed
public,AttendanceRecord,AttendanceRecord,attendance,Port unique capability,attendance domain under FastAPI,Retain basic attendance/shifts; do not infer a full payroll or shift optimization engine.,Not executed
public,ExitRequest,ExitRequest,lifecycle,Merge/extend,lifecycle_cases + tasks + lifecycle events,"Preserve statuses, assignees and histories; prehire is not active employment.",Not executed
public,fnf_settlements,FnfSettlement,settlements,Port unique capability,exit settlement records under FastAPI,Preserve recorded settlement details; not a statutory payroll engine.,Not executed
public,exit_offboarding_templates,ExitOffboardingTemplate,templates,Port unique capability,versioned lifecycle templates and groups,Port existing unique capability; template application must be repeat-safe.,Not executed
public,employee_documents,EmployeeDocument,documents,Merge/extend,documents + domain link/review/expiry extensions,"One storage service; preserve object keys, owner scope, review status and expiry.",Not executed
public,organization_company_profile,OrganizationCompanyProfile,organization,Merge/extend,organization_units + positions + job profiles/company/location extensions,Keep designation/job title separate from an approved position; preserve hierarchy and effective dates.,Not executed
public,privacy_policies,PrivacyPolicy,policies,Merge/extend,policies + versions + policy_acknowledgements,Merge policy content with audience/effective-date/acknowledgement behavior.,Not executed
public,support_tickets,SupportTicket,hr-service,Merge/extend,hr_cases + case_notes + routing/SLA fields,Merge ticket and case experience; confidential notes stay separately restricted.,Not executed
public,knowledge_base_articles,KnowledgeBaseArticle,knowledge,Port unique capability,knowledge articles and FAQs,Port unique content; publish state and audience must govern search and AI.,Not executed
public,knowledge_base_faqs,KnowledgeBaseFaq,knowledge,Port unique capability,knowledge articles and FAQs,Port unique content; publish state and audience must govern search and AI.,Not executed
public,performance_feedback,PerformanceFeedback,performance,Merge/extend,performance_goals + performance_reviews + feedback/cycle extensions,"Merge goals/reviews; retain weights, targets and reflections without automatic employment decisions.",Not executed
public,employee_shifts,EmployeeShift,attendance,Port unique capability,attendance domain under FastAPI,Retain basic attendance/shifts; do not infer a full payroll or shift optimization engine.,Not executed
public,performance_goals,PerformanceGoal,performance,Merge/extend,performance_goals + performance_reviews + feedback/cycle extensions,"Merge goals/reviews; retain weights, targets and reflections without automatic employment decisions.",Not executed
public,performance_appraisals,PerformanceAppraisal,performance,Merge/extend,performance_goals + performance_reviews + feedback/cycle extensions,"Merge goals/reviews; retain weights, targets and reflections without automatic employment decisions.",Not executed
public,employee_self_service_requests,EmployeeSelfServiceRequest,self-service,Merge/extend,profile_changes + typed self-service requests,"Extend beyond native name changes; map proposed fields and decision history, never auto-approve on import.",Not executed
public,employee_profiles,EmployeeProfile,workforce,Merge/extend,workers + employments + restricted profile extensions,Split person and employment fields; preserve payroll/profile fields with field access; no email-only linking.,Not executed
public,announcements,Announcement,communications,Port unique capability,announcements + schedule items + message templates,Preserve distinct records; reuse shared notification/outbox delivery.,Not executed
public,admin_schedule_items,AdminScheduleItem,communications,Port unique capability,announcements + schedule items + message templates,Preserve distinct records; reuse shared notification/outbox delivery.,Not executed
public,job_openings,JobOpening,requisitions,Merge/extend,requisitions + job publications,"Two mixed job stores map to one requisition domain; employee jobs are a publication view, not a second vacancy.",Read-only canonical view installed
public,job_applications,JobApplication,applications,Merge/extend,candidates + applications + form submissions,RmsCandidate is job-bound: split person from application; ambiguous matches require review; preserve JSON fields.,Not executed
public,job_referrals,JobReferral,referrals,Port unique capability,referrals linked to canonical applications,Keep referral provenance and referrer access; referral is not another candidate master.,Not executed
public,rms_job_openings,RmsJobOpening,requisitions,Merge/extend,requisitions + job publications,"Two mixed job stores map to one requisition domain; employee jobs are a publication view, not a second vacancy.",Read-only canonical view installed
public,rms_section_value,RmsSectionValue,recruiting-config,Port unique capability,versioned recruiting forms/stages/questions,Preserve custom fields and questions; map free-text status values explicitly.,Not executed
public,rms_hiring_flow,RmsHiringFlow,recruiting-config,Port unique capability,versioned recruiting forms/stages/questions,Preserve custom fields and questions; map free-text status values explicitly.,Not executed
public,rms_template,RmsTemplate,communications,Port unique capability,announcements + schedule items + message templates,Preserve distinct records; reuse shared notification/outbox delivery.,Not executed
public,rms_candidate_form_details,RmsCandidateFormDetail,applications,Merge/extend,candidates + applications + form submissions,RmsCandidate is job-bound: split person from application; ambiguous matches require review; preserve JSON fields.,Not executed
public,rms_question,RmsQuestion,recruiting-config,Port unique capability,versioned recruiting forms/stages/questions,Preserve custom fields and questions; map free-text status values explicitly.,Not executed
public,rms_candidate,RmsCandidate,applications,Merge/extend,candidates + applications + form submissions,RmsCandidate is job-bound: split person from application; ambiguous matches require review; preserve JSON fields.,Not executed
public,rms_interview,RmsInterview,interviews,Merge/extend,interviews + participants + scheduling history,"One interview identity, multiple rounds/slots; preserve timezone and panel membership; no string-based access checks.",Not executed
public,rms_interview_schedule,RmsInterviewSchedule,interviews,Merge/extend,interviews + participants + scheduling history,"One interview identity, multiple rounds/slots; preserve timezone and panel membership; no string-based access checks.",Not executed
public,rms_feedback,RmsFeedback,scorecards,Merge/extend,scorecards + competency responses,Retain recommendations and round-specific feedback; map authors to verified users.,Not executed
public,client_subscription_requests,ClientSubscriptionRequest,saas,Port unique capability,subscription enquiry and manual plan administration,Keep lead capture separate from active paid entitlements; no payment integration assumed.,Not executed
public,parties,Party,parties,Port unique capability,party domain with explicit identity reference where applicable,"Preserve business contacts/addresses/bank records; PartyRole is a business relationship, not an authorization grant.",Not executed
public,party_roles,PartyRole,parties,Port unique capability,party domain with explicit identity reference where applicable,"Preserve business contacts/addresses/bank records; PartyRole is a business relationship, not an authorization grant.",Not executed
public,roles,Role,identity,Merge/extend,users + explicit role grants and module entitlements,Merge authorization; verified subject links only; role definitions do not grant access.,Not executed
public,party_user_roles,PartyUserRole,identity,Merge/extend,users + explicit role grants and module entitlements,Merge authorization; verified subject links only; role definitions do not grant access.,Not executed
public,modules,Module,identity,Merge/extend,users + explicit role grants and module entitlements,Merge authorization; verified subject links only; role definitions do not grant access.,Not executed
public,role_modules,RoleModule,identity,Merge/extend,users + explicit role grants and module entitlements,Merge authorization; verified subject links only; role definitions do not grant access.,Not executed
public,party_contact_persons,PartyContactPerson,parties,Port unique capability,party domain with explicit identity reference where applicable,"Preserve business contacts/addresses/bank records; PartyRole is a business relationship, not an authorization grant.",Not executed
public,party_addresses,PartyAddress,parties,Port unique capability,party domain with explicit identity reference where applicable,"Preserve business contacts/addresses/bank records; PartyRole is a business relationship, not an authorization grant.",Not executed
public,party_bank_details,PartyBankDetail,parties,Port unique capability,party domain with explicit identity reference where applicable,"Preserve business contacts/addresses/bank records; PartyRole is a business relationship, not an authorization grant.",Not executed
hirava_core,users,User,core,Retain and extend,users,Keep native invariants; extend fields and relationships before importing overlapping source data.,No consolidation executed
hirava_core,audit_events,AuditEvent,core,Retain and extend,audit_events,Keep native invariants; extend fields and relationships before importing overlapping source data.,No consolidation executed
hirava_core,outbox_events,OutboxEvent,core,Retain and extend,outbox_events,Keep native invariants; extend fields and relationships before importing overlapping source data.,No consolidation executed
hirava_core,notifications,Notification,core,Retain and extend,notifications,Keep native invariants; extend fields and relationships before importing overlapping source data.,No consolidation executed
hirava_core,policies,Policy,core,Retain and extend,policies,Keep native invariants; extend fields and relationships before importing overlapping source data.,No consolidation executed
hirava_core,policy_acknowledgements,Acknowledgement,core,Retain and extend,policy_acknowledgements,Keep native invariants; extend fields and relationships before importing overlapping source data.,No consolidation executed
hirava_core,documents,Document,core,Retain and extend,documents,Keep native invariants; extend fields and relationships before importing overlapping source data.,No consolidation executed
hirava_core,expense_claims,ExpenseClaim,claims,Retain and extend,expense_claims,Keep native invariants; extend fields and relationships before importing overlapping source data.,No consolidation executed
hirava_core,conversions,Conversion,conversion,Retain and extend,conversions,Keep native invariants; extend fields and relationships before importing overlapping source data.,No consolidation executed
hirava_core,hr_cases,HRCase,hr_service,Retain and extend,hr_cases,Keep native invariants; extend fields and relationships before importing overlapping source data.,No consolidation executed
hirava_core,case_notes,CaseNote,hr_service,Retain and extend,case_notes,Keep native invariants; extend fields and relationships before importing overlapping source data.,No consolidation executed
hirava_core,improvement_plans,ImprovementPlan,improvement,Retain and extend,improvement_plans,Keep native invariants; extend fields and relationships before importing overlapping source data.,No consolidation executed
hirava_core,interviews,Interview,interviews,Retain and extend,interviews,Keep native invariants; extend fields and relationships before importing overlapping source data.,No consolidation executed
hirava_core,scorecards,Scorecard,interviews,Retain and extend,scorecards,Keep native invariants; extend fields and relationships before importing overlapping source data.,No consolidation executed
hirava_core,courses,Course,learning,Retain and extend,courses,Keep native invariants; extend fields and relationships before importing overlapping source data.,No consolidation executed
hirava_core,learning_assignments,LearningAssignment,learning,Retain and extend,learning_assignments,Keep native invariants; extend fields and relationships before importing overlapping source data.,No consolidation executed
hirava_core,leave_types,LeaveType,leave,Retain and extend,leave_types,Keep native invariants; extend fields and relationships before importing overlapping source data.,No consolidation executed
hirava_core,leave_balances,LeaveBalance,leave,Retain and extend,leave_balances,Keep native invariants; extend fields and relationships before importing overlapping source data.,No consolidation executed
hirava_core,leave_requests,LeaveRequest,leave,Retain and extend,leave_requests,Keep native invariants; extend fields and relationships before importing overlapping source data.,No consolidation executed
hirava_core,offers,Offer,offers,Retain and extend,offers,Keep native invariants; extend fields and relationships before importing overlapping source data.,No consolidation executed
hirava_core,organization_units,OrganizationUnit,organization,Retain and extend,organization_units,Keep native invariants; extend fields and relationships before importing overlapping source data.,No consolidation executed
hirava_core,positions,Position,organization,Retain and extend,positions,Keep native invariants; extend fields and relationships before importing overlapping source data.,No consolidation executed
hirava_core,performance_goals,Goal,performance,Retain and extend,performance_goals,Keep native invariants; extend fields and relationships before importing overlapping source data.,No consolidation executed
hirava_core,performance_reviews,Review,performance,Retain and extend,performance_reviews,Keep native invariants; extend fields and relationships before importing overlapping source data.,No consolidation executed
hirava_core,job_references,JobReference,recruiting,Retain and extend,job_references,Keep native invariants; extend fields and relationships before importing overlapping source data.,No consolidation executed
hirava_core,requisitions,Requisition,recruiting,Retain and extend,requisitions,Keep native invariants; extend fields and relationships before importing overlapping source data.,No consolidation executed
hirava_core,candidates,Candidate,recruiting,Retain and extend,candidates,Keep native invariants; extend fields and relationships before importing overlapping source data.,No consolidation executed
hirava_core,applications,Application,recruiting,Retain and extend,applications,Keep native invariants; extend fields and relationships before importing overlapping source data.,No consolidation executed
hirava_core,workers,Worker,workforce,Retain and extend,workers,Keep native invariants; extend fields and relationships before importing overlapping source data.,No consolidation executed
hirava_core,employments,Employment,workforce,Retain and extend,employments,Keep native invariants; extend fields and relationships before importing overlapping source data.,No consolidation executed
hirava_core,lifecycle_cases,LifecycleCase,workforce,Retain and extend,lifecycle_cases,Keep native invariants; extend fields and relationships before importing overlapping source data.,No consolidation executed
hirava_core,tasks,Task,workforce,Retain and extend,tasks,Keep native invariants; extend fields and relationships before importing overlapping source data.,No consolidation executed
hirava_core,profile_changes,ProfileChange,workforce,Retain and extend,profile_changes,Keep native invariants; extend fields and relationships before importing overlapping source data.,No consolidation executed
